Plot,Quadrant,ID,Type,Number,Species,Girth_cm_Stem1,Girth_cm_Stem2,Girth_cm_Stem3,Height_m,Location_Name,Condition,GBH_Stem3_cm,GBH_Stem4_cm,GBH_Stem5_cm,GBH_Stem6_cm,Remarks,Total_GBH_cm,Subplot_ID,Notes,DBH1_cm,DBH2_cm,DBH3_cm,Effective_DBH_cm,Wood_Density_g_cm3,AGB_M1_kg,Carbon_Stock_M1_kg,CO2_Eq_M1_kg,AGB_M2_kg,Carbon_Stock_M2_kg,CO2_Eq_M2_kg
Plot-P03,Q3,T29,Tree,1,Terminalia elliptica (Ain),135.0,46.0,,16.5,ARAI Hills I,Live,0.0,0.0,0.0,0.0,Live,142.3,,,42.97183463481174,14.642254764454371,,45.3979536594855,0.62,1117.3481025899757,661.6935463537835,2426.209669963873,4568.903099879803,2705.7044157488194,9920.916191079004
Plot-P03,Q4,T30,Tree,1,Anogeissus latifolia,50.0,53.0,,8.0,ARAI Hills I,Live,68.5,60.0,0.0,0.0,Live,119.0,,,15.915494309189532,16.870423967740905,,23.19297660838667,0.62,148.58708026833287,87.99326893490672,322.64198609465797,872.661157649729,516.7899375601695,1894.8964377206214
Plot-P04,Q1,T31,Tree,1,Gliricidia sepium,171.0,52.0,,12.0,ARAI Hills II,Live,71.5,49.0,0.0,0.0,Live,204.5,,,54.43099053742821,16.552114081557114,,56.892048754237,0.62,1272.128319760444,753.3543909621349,2762.2994335278277,7921.03195911986,4690.835126190782,17199.728796032865
Plot-P04,Q2,T32,Tree,1,Gliricidia sepium,41.0,0.0,,6.5,ARAI Hills II,Live,0.0,0.0,0.0,0.0,Live,41.0,,,13.05070533353542,0.0,,13.05070533353542,0.62,39.492108914493556,23.387226899163082,85.7531652969313,207.01049276286534,122.59161381416884,449.5025839852857
Plot-P04,Q3,T33,Tree,1,Boswellia serrata,89.0,0.0,,13.5,ARAI Hills II,Live,0.0,0.0,0.0,0.0,"Leaf fall initiating, canopy thinning",89.3,,,28.32957987035737,0.0,,28.32957987035737,0.62,365.904586020232,216.68869584118136,794.5252180843316,1432.9518508331028,848.5940860633634,3111.5116488989993
Plot-P04,Q4,T34,Tree,1,Ficus racemosa,219.0,65.0,,19.0,ARAI Hills II,Live,82.0,75.5,0.0,0.0,Live,258.5,,,69.70986507425016,20.690142601946395,,72.71552303022402,0.48,2505.3372094644096,1483.6606954448232,5440.089216631019,18433.335025329336,10916.221002000033,40026.14367400012
Plot-P05,Q1,T35,Tree,1,Syzygium cumini (Jambul),125.5,0.0,,15.5,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,125.8,,,39.94789071606573,0.0,,39.94789071606573,0.62,818.9720717574418,484.995260894757,1778.315956614109,3340.4693383963427,1978.2259421983138,7253.495121393817
Plot-P05,Q1,T36,Tree,1,Terminalia elliptica (Ain),143.0,0.0,,17.5,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,143.1,,,45.51831372428207,0.0,,45.51831372428207,0.62,1189.5258446443693,704.4372051983954,2582.936419060783,4598.573600328763,2723.2752861146932,9985.342715753875
Plot-P05,Q1,T37,Tree,1,Ficus racemosa,99.0,0.0,,12.0,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,99.0,,,31.51267873219528,0.0,,31.51267873219528,0.48,312.7740807758262,185.22481063544424,679.1576389966289,2392.947338846861,1417.1034140651109,5196.045851572073
Plot-P05,Q2,T38,Tree,1,Garcinia indica (Kokum),68.5,0.0,,11.0,Panshet Backwaters,Live,0.0,0.0,0.0,0.0,Live,68.8,,,21.80422720358966,0.0,,21.80422720358966,0.62,179.7297863049136,106.43597944976983,390.26525798248935,748.4433889690162,443.22817494745135,1625.1699748073215
